Year,City,NOC,Country,GoldMedals,SilverMedals,BronzeMedals,TotalMedals,ParticipationStatus,BoycottBy
1956,Melbourne / Stockholm,BUL,Bulgaria,1.0,3.0,1.0,5.0,participated,
1956,Melbourne / Stockholm,CAN,Canada,2.0,1.0,3.0,6.0,participated,
1956,Melbourne,CHI,Chile,0.0,2.0,2.0,4.0,participated,
1956,Stockholm / Melbourne,DEN,Denmark,1.0,2.0,1.0,4.0,participated,
1956,Stockholm / Melbourne,FIN,Finland,3.0,1.0,11.0,15.0,participated,
1956,Melbourne / Stockholm,FRA,France,4.0,4.0,6.0,14.0,participated,
1956,Melbourne / Stockholm,GBR,Great Britain,6.0,7.0,11.0,24.0,participated,
1956,Melbourne / Stockholm,GER,United Team of Germany,6.0,13.0,7.0,26.0,participated,
1956,Melbourne,GRE,Greece,0.0,0.0,1.0,1.0,participated,
1956,Melbourne / Stockholm,HUN,Hungary,9.0,10.0,7.0,26.0,participated,
1956,Melbourne,IND,India,1.0,0.0,0.0,1.0,participated,
1956,Melbourne,IRI,Iran,2.0,2.0,1.0,5.0,participated,
1956,Stockholm / Melbourne,IRL,Ireland,1.0,1.0,3.0,5.0,participated,
1956,Melbourne,ISL,Iceland,0.0,1.0,0.0,1.0,participated,
1956,Melbourne / Stockholm,ITA,Italy,8.0,8.0,9.0,25.0,participated,
1956,Melbourne / Stockholm,JPN,Japan,4.0,10.0,3.0,17.0,participated,
1956,Melbourne,KOR,South Korea,0.0,1.0,1.0,2.0,participated,
1956,Melbourne,MEX,Mexico,1.0,0.0,1.0,2.0,participated,
1956,Melbourne / Stockholm,NOR,Norway,1.0,0.0,2.0,3.0,participated,
1956,Melbourne,NZL,New Zealand,2.0,0.0,0.0,2.0,participated,
1956,Melbourne,PAK,Pakistan,0.0,1.0,0.0,1.0,participated,
1956,Melbourne,POL,Poland,1.0,4.0,4.0,9.0,participated,
1956,Melbourne / Stockholm,ROU,Romania,5.0,3.0,5.0,13.0,participated,
1956,Melbourne,RSA,South Africa,0.0,0.0,4.0,4.0,participated,
1956,Stockholm,SUI,Switzerland,0.0,0.0,1.0,1.0,participated,
1956,Melbourne / Stockholm,SWE,Sweden,8.0,5.0,6.0,19.0,participated,
1956,Melbourne,TCH,Czechoslovakia,1.0,4.0,1.0,6.0,participated,
1956,Melbourne / Stockholm,TUR,Turkey,3.0,2.0,2.0,7.0,participated,
1956,Melbourne / Stockholm,URS,Soviet Union,37.0,29.0,32.0,98.0,participated,
1956,Melbourne,URU,Uruguay,0.0,0.0,1.0,1.0,participated,
1956,Melbourne / Stockholm,USA,United States,32.0,25.0,17.0,74.0,participated,
1956,Melbourne,YUG,Yugoslavia,0.0,3.0,0.0,3.0,participated,
1960,Roma,ARG,Argentina,0.0,1.0,1.0,2.0,participated,
1960,Roma,AUS,Australia,8.0,8.0,6.0,22.0,participated,
1960,Roma,AUT,Austria,1.0,1.0,0.0,2.0,participated,
1960,Roma,BEL,Belgium,0.0,2.0,2.0,4.0,participated,
1960,Roma,BRA,Brazil,0.0,0.0,2.0,2.0,participated,
1960,Roma,BUL,Bulgaria,1.0,3.0,3.0,7.0,participated,
1960,Roma,CAN,Canada,0.0,1.0,0.0,1.0,participated,
1960,Roma,DEN,Denmark,2.0,3.0,1.0,6.0,participated,
1960,Roma,ESP,Spain,0.0,0.0,1.0,1.0,participated,
1960,Roma,ETH,Ethiopia,1.0,0.0,0.0,1.0,participated,
1960,Roma,FIN,Finland,1.0,1.0,3.0,5.0,participated,
1960,Roma,FRA,France,0.0,2.0,3.0,5.0,participated,
1960,Roma,GBR,Great Britain,2.0,6.0,12.0,20.0,participated,
1960,Roma,GER,United Team of Germany,12.0,19.0,11.0,42.0,participated,
1960,Roma,GHA,Ghana,0.0,1.0,0.0,1.0,participated,
1960,Roma,GRE,Greece,1.0,0.0,0.0,1.0,participated,
1960,Roma,HUN,Hungary,6.0,8.0,7.0,21.0,participated,
1960,Roma,IND,India,0.0,1.0,0.0,1.0,participated,
1960,Roma,IRI,Iran,0.0,1.0,3.0,4.0,participated,
1960,Roma,IRQ,Iraq,0.0,0.0,1.0,1.0,participated,
1960,Roma,ITA,Italy,13.0,10.0,13.0,36.0,participated,
1960,Roma,JPN,Japan,4.0,7.0,7.0,18.0,participated,
1960,Roma,MAR,Morocco,0.0,1.0,0.0,1.0,participated,
1960,Roma,MEX,Mexico,0.0,0.0,1.0,1.0,participated,
1960,Roma,NED,Netherlands,0.0,1.0,2.0,3.0,participated,
1960,Roma,NOR,Norway,1.0,0.0,0.0,1.0,participated,
1960,Roma,NZL,New Zealand,2.0,0.0,1.0,3.0,participated,
1960,Roma,PAK,Pakistan,1.0,0.0,1.0,2.0,participated,
1960,Roma,POL,Poland,4.0,6.0,11.0,21.0,participated,
1960,Roma,POR,Portugal,0.0,1.0,0.0,1.0,participated,
1960,Roma,ROU,Romania,3.0,1.0,6.0,10.0,participated,
1960,Roma,RSA,South Africa,0.0,1.0,2.0,3.0,participated,
1960,Roma,SGP,Singapore,0.0,1.0,0.0,1.0,participated,
1960,Roma,SUI,Switzerland,0.0,3.0,3.0,6.0,participated,
1960,Roma,SWE,Sweden,1.0,2.0,3.0,6.0,participated,
1960,Roma,TCH,Czechoslovakia,3.0,2.0,3.0,8.0,participated,
1960,Roma,TPE,Chinese Taipei,0.0,1.0,0.0,1.0,participated,
1960,Roma,TUR,Turkey,7.0,2.0,0.0,9.0,participated,
1960,Roma,UAR,United Arab Republic,0.0,1.0,1.0,2.0,participated,
1960,Roma,URS,Soviet Union,43.0,29.0,31.0,103.0,participated,
1960,Roma,USA,United States,34.0,21.0,16.0,71.0,participated,
1960,Roma,VEN,Venezuela,0.0,0.0,1.0,1.0,participated,
1960,Roma,WIF,West Indies Federation,0.0,0.0,2.0,2.0,participated,
1960,Roma,YUG,Yugoslavia,1.0,1.0,0.0,2.0,participated,
1964,Tokyo,ARG,Argentina,0.0,1.0,0.0,1.0,participated,
1964,Tokyo,AUS,Australia,6.0,2.0,10.0,18.0,participated,
1964,Tokyo,BAH,Bahamas,1.0,0.0,0.0,1.0,participated,
1964,Tokyo,BEL,Belgium,2.0,0.0,1.0,3.0,participated,
1964,Tokyo,BRA,Brazil,0.0,0.0,1.0,1.0,participated,
1964,Tokyo,BUL,Bulgaria,3.0,5.0,2.0,10.0,participated,
1964,Tokyo,CAN,Canada,1.0,2.0,1.0,4.0,participated,
1964,Tokyo,CUB,Cuba,0.0,1.0,0.0,1.0,participated,
1964,Tokyo,DEN,Denmark,2.0,1.0,3.0,6.0,participated,
1964,Tokyo,ETH,Ethiopia,1.0,0.0,0.0,1.0,participated,
1964,Tokyo,FIN,Finland,3.0,0.0,2.0,5.0,participated,
1964,Tokyo,FRA,France,1.0,8.0,6.0,15.0,participated,
1964,Tokyo,GBR,Great Britain,4.0,12.0,2.0,18.0,participated,
